date,cap_price,equal_price,cap_ret_1m,equal_ret_1m,breadth_signal
2023-11-01,4237.85986328125,131.38223266601562,-0.006072151678393478,-0.020905244635926135,WEAK
2023-11-02,4317.77978515625,134.2935028076172,0.013994172305597186,0.003674374680616266,HEALTHY
2023-11-03,4358.33984375,136.4914093017578,0.011567794766159878,0.011357261169181454,HEALTHY
2023-11-06,4365.97998046875,135.77806091308594,0.006993127488334805,-0.001063783569213883,HEALTHY
2023-11-07,4378.3798828125,135.48886108398438,0.004621050551241179,-0.010768536786252558,FRAGILE
2023-11-08,4382.77978515625,135.2671356201172,0.0013318839793958759,-0.01446835523251222,FRAGILE
2023-11-09,4347.35009765625,134.12001037597656,-0.0005195329457192699,-0.010454986154886048,WEAK
2023-11-10,4415.240234375,135.69126892089844,0.020209080304577576,0.0033501181488690968,HEALTHY
2023-11-13,4411.5498046875,135.5177459716797,0.008670125934528095,-0.010278899193394309,FRAGILE
2023-11-14,4495.7001953125,139.3833770751953,0.028011523490578893,0.012960656607028387,HEALTHY
2023-11-15,4502.8798828125,140.0388641357422,0.04363782990190135,0.03409722280907834,HEALTHY
2023-11-16,4508.240234375,139.576171875,0.05381959662809721,0.04360659665375555,HEALTHY
2023-11-17,4514.02001953125,140.2509765625,0.06861952496104529,0.06189327216401108,HEALTHY
2023-11-20,4547.3798828125,140.8101043701172,0.07833452864807011,0.07293980286231805,HEALTHY
2023-11-21,4538.18994140625,140.54981994628906,0.06839257043912639,0.06415592862783193,HEALTHY
2023-11-22,4556.6201171875,141.205322265625,0.0883378107540902,0.08103329323376429,HEALTHY
2023-11-24,4559.33984375,141.61984252929688,0.1020271692107928,0.08645165972699398,HEALTHY
2023-11-27,4550.43017578125,141.3306427001953,0.10517880255311263,0.09688772558020897,HEALTHY
2023-11-28,4554.89013671875,141.1956787109375,0.09313345161804798,0.08729868424098419,HEALTHY
2023-11-29,4550.580078125,141.75479125976562,0.0850732724625336,0.08260292926090029,HEALTHY
2023-11-30,4567.7998046875,142.95977783203125,0.07785532132975903,0.0881210870837208,HEALTHY
2023-12-01,4594.6298828125,145.10946655273438,0.06411862379086841,0.08053973959270122,HEALTHY
2023-12-04,4569.77978515625,145.17698669433594,0.04851387202158208,0.06363460848569513,HEALTHY
2023-12-05,4567.18017578125,143.8852081298828,0.04608362755041728,0.05970881571203468,HEALTHY
2023-12-06,4549.33984375,143.9333953857422,0.03904639741485427,0.062326409966080965,HEALTHY
2023-12-07,4585.58984375,144.69497680664062,0.04627429817045203,0.06969794357884895,HEALTHY
2023-12-08,4604.3701171875,145.14804077148438,0.0591210769221957,0.08222509351582286,HEALTHY
2023-12-11,4622.43994140625,146.43978881835938,0.04692829744983973,0.07921305462716854,HEALTHY
