date,m2,gdp,yield_10y,yield_2y,m2_yoy,gdp_yoy,excess_liquidity,yield_spread
1993-07-01,3442.0,6882.098,5.8,3.99,0.08690160414298331,0.048039324823756946,0.03886227931922637,1.8099999999999996
1993-10-01,3456.7,7013.738,5.34,3.84,0.060565152026508695,0.049834578268510565,0.01073057375799813,1.5
1994-04-01,3481.3,7246.931,,,0.058886151412841814,0.0768965231826213,-0.018010371769779487,
1994-07-01,3488.2,7331.075,7.34,6.19,0.046753090865442326,0.0766839003844797,-0.02993080951903737,1.1499999999999995
1996-01-01,3647.9,7868.468,,,0.08694615774261805,0.14332402706267766,-0.056377869320059615,
1996-04-01,3697.7,8032.84,6.31,5.79,0.10047320020237493,0.14530083672928762,-0.044827636526912684,0.5199999999999996
1996-07-01,3737.1,8131.408,6.74,6.15,0.10525848811072991,0.12204849197543077,-0.016790003864700864,0.5899999999999999
1996-10-01,3772.8,8259.771,6.65,6.03,0.1097449774980146,0.12667937512574912,-0.01693439762773452,0.6200000000000001
1997-01-01,3834.6,8362.655,,,0.1298506143374878,0.06280599984647584,0.06704461449101196,
1997-04-01,3877.0,8518.825,6.9,6.42,0.13236754483322621,0.060499773430069625,0.07186777140315659,0.4800000000000004
1997-07-01,3923.9,8662.823,6.45,6.02,0.147641192126583,0.06535338037397698,0.08228781175260602,0.4300000000000006
1997-10-01,3992.3,8765.907,6.04,5.75,0.17031630170316303,0.06127724364271092,0.10903905806045211,0.29000000000000004
1998-01-01,4056.2,8866.48,,,0.17844276583381746,0.06024701485353612,0.11819575098028134,
1998-04-01,4140.2,8969.699,5.62,5.55,0.19773194086845836,0.05292678274292517,0.14480515812553318,0.07000000000000028
1998-07-01,4203.8,9121.097,5.44,5.46,0.20753741418435645,0.052901230926685194,0.15463618325767126,-0.019999999999999574
1998-10-01,4307.9,9293.991,4.33,4.17,0.23499225961814107,0.06024293892235,0.17474932069579108,0.16000000000000014
1999-01-01,4403.0,9411.682,,,0.20699580580608012,0.061490241899829545,0.14550556390625058,
1999-04-01,4461.4,9526.21,5.27,5.01,0.20653379127565774,0.062043442037464036,0.1444903492381937,0.2599999999999998
1999-07-01,4535.4,9686.626,5.85,5.58,0.21361483503251177,0.06200230081973701,0.15161253421277476,0.2699999999999996
1999-10-01,4592.7,9900.169,6.0,5.73,0.21731870229007622,0.06522257230505168,0.15209612998502453,0.2699999999999996
2001-01-01,4978.3,10470.231,,,0.2982579669326657,0.11247181959611452,0.1857861473365512,
2001-10-01,5343.8,10660.465,4.55,2.82,0.3783337632189838,0.11906676422207796,0.25926699899690586,1.73
2002-01-01,5460.9,10783.5,,,0.3917021330818826,0.11323591929738996,0.27846621378449266,
2002-04-01,5502.1,10887.46,5.44,3.74,0.37817799263582397,0.09972466126588331,0.27845333136994066,1.7000000000000002
2002-07-01,5596.0,10984.04,4.85,2.88,0.3796163897243727,0.049073320349856786,0.33054306937451594,1.9699999999999998
2002-10-01,5707.1,11061.433,3.72,1.8,0.3784599777788513,0.037612618211307014,0.3408473595675443,1.9200000000000002
2003-01-01,5812.1,11174.129,,,0.38258242542461596,0.036224695136087615,0.34635773028852834,
2003-04-01,5905.5,11312.766,3.84,1.5,0.3708535481325008,0.039063840418242624,0.3317897077142582,2.34
2003-07-01,6049.1,11566.669,3.56,1.3,0.3738587326822622,0.05304323363716801,0.3208154990450942,2.26
2003-10-01,6070.0,11772.234,3.96,1.47,0.36055946563858887,0.06425939568589345,0.2963000699526954,2.49
2004-01-01,6082.1,11923.447,,,0.3410283547206423,0.06705829152321385,0.27397006319742845,
2004-04-01,6198.9,12112.815,3.91,1.65,0.3497289176301521,0.07072090061793923,0.2790080170122129,2.2600000000000002
2004-07-01,6291.1,12305.307,4.57,2.64,0.26370447743205516,0.0638591802013182,0.19984529723073696,1.9300000000000002
2004-10-01,6379.8,12527.214,4.21,2.63,0.19386953104532356,0.06413226240660852,0.12973726863871504,1.58
2005-04-01,6461.8,12922.656,4.46,3.75,0.1832848065337216,0.08380202469973663,0.09948278183398496,0.71
2005-07-01,6543.5,13142.642,4.06,3.76,0.1892731866014794,0.08501962590859335,0.10425356069288605,0.2999999999999998
2007-01-01,7118.3,14215.651,,,0.2720335954253039,0.1552455375554629,0.11678805786984103,
2007-10-01,7428.1,14715.058,4.56,4.02,0.30155420441204805,0.1746472918878852,0.12690691252416286,0.54
2008-01-01,7517.5,14706.538,,,0.2934223430429621,0.13804298435244267,0.15537935869051944,
2008-04-01,7712.5,14865.701,3.57,1.8,0.30598594530522405,0.13110446134042153,0.17488148396480252,1.7699999999999998
2008-07-01,7791.2,14898.999,4.01,2.63,0.28799325519498753,0.04807011652157178,0.23992313867341575,1.38
2008-10-01,7974.9,14608.209,3.77,1.82,0.31382207578253696,-0.007261201416943086,0.32108327719948004,1.95
2009-01-01,8289.0,14430.902,,,0.3628516466352081,-0.01874241238828611,0.3815940590234942,
2009-04-01,8391.1,14381.236,2.68,0.83,0.35364338834309317,-0.032589448691319634,0.3862328370344128,1.85
2009-07-01,8463.5,14448.882,3.55,1.05,0.34531322026354694,-0.030211224257414848,0.3755244445209618,2.5
2009-10-01,8487.9,14651.249,3.21,0.87,0.33043355591084356,0.002946288624430249,0.3274872672864133,2.34
2010-01-01,8477.7,14764.61,,,0.31197189637562306,0.023124542041793372,0.2888473543338297,
2010-04-01,8554.8,14980.193,3.89,1.05,0.3073737296553831,0.0416485064287937,0.2657252232265894,2.84
2010-07-01,8639.5,15141.607,2.96,0.63,0.2137027099166935,0.04794315574035424,0.16575955417633925,2.33
2010-10-01,8768.4,15309.474,2.54,0.42,0.18043645077476067,0.04492620390247959,0.13551024687228108,2.12
2011-04-01,9030.2,15557.539,3.46,0.8,0.20122381110741605,0.05370470334130051,0.14751910776611554,2.66
2011-07-01,9338.4,15647.68,3.22,0.5,0.21081361426256073,0.0445579706483088,0.16625564361425194,2.72
2012-10-01,10282.6,16420.419,1.64,0.25,0.31977102371906785,0.0844568215249546,0.23531420219411325,1.39
2013-01-01,10497.4,16648.189,,,0.31630490664459754,0.08744356599057546,0.22886134065402208,
2013-04-01,10600.0,16728.687,1.86,0.23,0.2788032332006274,0.07527848716946828,0.2035247460311591,1.6300000000000001
2013-07-01,10730.5,16953.838,2.5,0.34,0.27879539035406564,0.0834729493445674,0.19532244100949825,2.16
2013-10-01,10973.2,17192.019,2.66,0.33,0.29653216754297884,0.046990274730504655,0.2495418928124742,2.33
2014-01-01,11116.6,17197.738,,,0.3096996901471507,0.033009536352572866,0.27669015379457784,
2014-04-01,11263.1,17518.508,2.77,0.44,0.32855609422366916,0.04721356792675957,0.2813425262969096,2.33
2014-07-01,11437.5,17804.228,2.58,0.47,0.33696871931547223,0.05015914390594034,0.2868095754095319,2.1100000000000003
2014-10-01,11576.6,17912.079,2.42,0.53,0.33996180334510107,0.04188338786735879,0.2980784154777423,1.89
2015-01-01,11787.8,18063.529,,,0.34435016650700234,0.050343306776739816,0.2940068597302625,
2015-04-01,11936.7,18279.784,1.87,0.55,0.32186441053354287,0.0434555271487731,0.27840888338476977,1.32
2015-07-01,12048.3,18401.626,2.43,0.69,0.290188897455667,0.03355371544332053,0.2566351820123465,1.7400000000000002
2015-10-01,12205.6,18435.137,2.05,0.64,0.18701495730651785,0.02920141207505833,0.15781354523145952,1.4099999999999997
2016-01-01,12505.5,18525.933,,,0.19129498733019612,0.025598763120982637,0.16569622420921348,
2016-04-01,12707.6,18711.702,1.79,0.76,0.1988301886792454,0.02362817853865229,0.1752020101405931,1.03
2016-07-01,12889.3,18892.639,1.46,0.59,0.20118354223941104,0.026683131153736106,0.17450041108567493,0.87
2018-01-01,13882.9,20328.553,,,0.2651642182772571,0.10270691234895635,0.16245730592830077,
2018-10-01,14241.1,20917.867,3.09,2.82,0.28106615332025986,0.12911274158229968,0.15195341173796018,0.27
2019-01-01,14445.7,21111.6,,,0.28256874217577765,0.12825653166131,0.15431221051446764,
2019-04-01,14554.2,21397.938,2.49,2.33,0.27249836065573785,0.13260714927120554,0.1398912113845323,0.16000000000000014
